P_extract_Pa,P_extract_MPa,eta,y
5743669.953298102,5.743669953298102,0.4736286342460025,0.3414000630721273
5846155.857475234,5.846155857475234,0.4733411425785409,0.3426697775367191
5948641.761652365,5.9486417616523655,0.47305337533209457,0.34392395159040146
6051127.665829496,6.051127665829497,0.4727653518296964,0.34516313667450943
6153613.570006628,6.153613570006628,0.4724770896515602,0.34638785776200964
6256099.474183759,6.256099474183759,0.47218860477544883,0.3475986150941898
6358585.378360891,6.358585378360891,0.47189991170397866,0.3487958857782777
6461071.282538022,6.461071282538022,0.4716110235802294,0.34998012525922
6563557.186715153,6.563557186715153,0.47132195229286555,0.351151768677401
6666043.090892284,6.666043090892284,0.4710327085718333,0.3523112321228317
6768528.995069415,6.768528995069415,0.47074330207558357,0.3534589137951958
6871014.899246547,6.871014899246547,0.4704537414706513,0.35459519507816734
6973500.8034236785,6.973500803423678,0.4701640345043421,0.35572044153557386
7075986.70760081,7.075986707600809,0.4698741880711886,0.3568350038361728
7178472.611777941,7.1784726117779405,0.46958420827376535,0.3579392186131798
7280958.515955072,7.280958515955072,0.4692941004783966,0.3590334092640381
7383444.420132204,7.383444420132204,0.46900386936622473,0.3601178866954402
7485930.324309335,7.485930324309335,0.46871351898006564,0.3611929500180722
7588416.228486466,7.588416228486466,0.46842305276743085,0.36225888719517946
7690902.132663597,7.690902132663598,0.4681324736200578,0.3633159756486659
7793388.0368407285,7.793388036840729,0.4678417839102562,0.364364482826059
7895873.94101786,7.89587394101786,0.46755098552434693,0.3654046667314299
7998359.845194992,7.998359845194992,0.467260079893441,0.3664367764230445
8100845.749372123,8.100845749372123,0.46696906802178906,0.36746105248027944
8203331.653549254,8.203331653549254,0.46667795051290034,0.3684777274421461
8305817.557726385,8.305817557726385,0.4663867275936177,0.3694870262195354
8408303.461903516,8.408303461903516,0.4660953991363153,0.37048916648312474
8510789.366080647,8.510789366080648,0.46580396467937074,0.3714843590287487
8613275.270257778,8.613275270257779,0.46551242344604943,0.37247280812185646
8715761.17443491,8.71576117443491,0.4652207743619254,0.3734547118225782
8818247.07861204,8.81824707861204,0.46492901607095116,0.37443026229277915
8920732.982789172,8.920732982789172,0.46463714695028296,0.3753996460863873
9023218.886966303,9.023218886966303,0.46434516512395274,0.37636304442417484
9125704.791143434,9.125704791143434,0.4640530684754734,0.3773206334540877
9228190.695320565,9.228190695320565,0.46376085465945627,0.37827258449814904
9330676.599497698,9.330676599497698,0.4634685211123088,0.37921906428684454
9433162.50367483,9.43316250367483,0.4631760650620823,0.3801602351819005
9535648.40785196,9.53564840785196,0.4628834835375256,0.3810962553882464
9638134.312029092,9.638134312029091,0.4625907733763985,0.3820272791559239
9740620.216206223,9.740620216206223,0.46229793123309404,0.38295345697265176
9843106.120383354,9.843106120383354,0.46200495358561816,0.38387493574771586
9945592.024560485,9.945592024560485,0.46171183674196153,0.3847918589877886
10048077.928737616,10.048077928737616,0.4614185768459048,0.3857043669652861
10150563.832914747,10.150563832914747,0.4611251698822892,0.3866125968797947
10253049.737091878,10.253049737091878,0.4608316116817832,0.38751668301310427
10355535.64126901,10.35553564126901,0.4605378979251726,0.38841675687831634
10458021.545446143,10.458021545446142,0.4602440241471976,0.38931294736352173
10560507.449623274,10.560507449623273,0.45994998573996193,0.39020538087048995
10662993.353800405,10.662993353800404,0.45965577795592727,0.3910941814487667
10765479.257977536,10.765479257977535,0.45936139591052,0.3919794709256266
10867965.162154667,10.867965162154666,0.45906683458435193,0.3928613690322473
10970451.066331798,10.970451066331798,0.45877208882508463,0.39373999352649397
