Pressure_kPa,Temperature_C,Position_m,Temperature_K,Volume
186.119,24.59,0.2147,297.73999999999995,0.0033050497193560704
186.321,24.64,0.2135,297.78999999999996,0.0032865771545529626
187.426,24.53,0.2124,297.67999999999995,0.003269643970150114
188.392,24.68,0.2114,297.83,0.0032542501661475235
189.378,24.71,0.2104,297.85999999999996,0.0032388563621449334
189.785,24.64,0.2094,297.78999999999996,0.0032234625581423434
191.118,24.63,0.2083,297.78,0.003206529373739495
191.786,24.67,0.2071,297.82,0.003188056808936387
192.893,24.7,0.2058,297.84999999999997,0.0031680448637330196
194.12,24.74,0.2046,297.89,0.0031495722989299114
195.494,24.77,0.2034,297.91999999999996,0.0031310997341268037
196.599,24.9,0.202,298.04999999999995,0.003109548408523178
197.851,24.95,0.2007,298.09999999999997,0.0030895364633198104
198.533,24.9,0.1997,298.04999999999995,0.003074142659317221
200.165,24.93,0.1986,298.08,0.0030572094749143717
201.629,24.9,0.1974,298.04999999999995,0.0030387369101112635
202.699,25.06,0.1961,298.21,0.0030187249649078966
204.432,25.09,0.1948,298.23999999999995,0.0029987130197045293
205.259,24.98,0.1934,298.13,0.002977161694100904
206.374,25.03,0.1924,298.17999999999995,0.0029617678900983138
207.028,25.06,0.1914,298.21,0.0029463740860957233
208.366,25.12,0.1905,298.27,0.002932519662493393
208.999,25.1,0.1897,298.25,0.0029202046192913205
210.258,25.15,0.1888,298.29999999999995,0.00290635019568899
211.19,25.17,0.1874,298.32,0.002884798870085364
213.311,25.22,0.1857,298.37,0.002858629403280961
215.913,25.23,0.1842,298.38,0.002835538697277076
216.863,25.27,0.1829,298.41999999999996,0.002815526752073709
218.237,25.31,0.1819,298.46,0.002800132948071119
218.462,25.33,0.1814,298.47999999999996,0.002792436046069824
217.741,25.43,0.1814,298.58,0.002792436046069824
217.851,25.42,0.1815,298.57,0.0027939754264700825
217.383,25.48,0.1811,298.63,0.002787817904869047
219.581,25.52,0.1794,298.66999999999996,0.0027616484380646442
222.586,25.54,0.1777,298.69,0.002735478971260241
225.382,25.56,0.1757,298.71,0.0027046913632550605
228.196,25.63,0.1742,298.78,0.002681600657251176
229.427,25.58,0.1728,298.72999999999996,0.00266004933164755
231.847,25.58,0.1715,298.72999999999996,0.002640037386444183
234.175,25.74,0.17,298.89,0.0026169466804402985
236.401,25.66,0.1684,298.81,0.002592316594036154
238.108,25.7,0.1671,298.84999999999997,0.002572304648832787
240.749,25.81,0.1659,298.96,0.0025538320840296793
242.441,25.84,0.1646,298.98999999999995,0.002533820138826312
243.752,25.86,0.1634,299.01,0.0025153475740232038
245.903,25.98,0.162,299.13,0.0024937962484195783
248.016,25.88,0.1609,299.03,0.002476863064016729
249.517,26.02,0.1596,299.16999999999996,0.0024568511188133623
251.68,26.12,0.1585,299.27,0.002439917934410513
253.142,26.02,0.1571,299.16999999999996,0.002418366608806887
256.475,26.16,0.1558,299.31,0.00239835466360352
259.152,26.16,0.1543,299.31,0.0023752639575996353
261.766,26.27,0.1528,299.41999999999996,0.0023521732515957502
263.861,26.22,0.1516,299.37,0.0023337006867926425
266.703,26.32,0.1503,299.46999999999997,0.002313688741589275
268.898,26.31,0.1493,299.46,0.002298294937586685
